# DRO_SourceID DetLink DetSlot DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link
104 0 8 8 3 pc-tbed-tpu-05005 0 0 8
105 0 9 8 3 pc-tbed-tpu-05005 0 0 9
106 0 10 8 3 pc-tbed-tpu-05005 0 0 10
107 0 11 8 3 pc-tbed-tpu-05005 0 0 11
108 0 0 9 3 pc-tbed-tpu-05005 1 0 0
109 0 1 9 3 pc-tbed-tpu-05005 1 0 1
110 0 2 9 3 pc-tbed-tpu-05005 1 0 2
111 0 3 9 3 pc-tbed-tpu-05005 1 0 3
112 0 4 9 3 pc-tbed-tpu-05005 1 0 4
113 0 5 9 3 pc-tbed-tpu-05005 1 0 5
114 0 6 9 3 pc-tbed-tpu-05005 1 0 6
115 0 7 9 3 pc-tbed-tpu-05005 1 0 7
116 0 8 9 3 pc-tbed-tpu-05005 1 0 8
117 0 9 9 3 pc-tbed-tpu-05005 1 0 9
118 0 10 9 3 pc-tbed-tpu-05005 1 0 10
119 0 11 9 3 pc-tbed-tpu-05005 1 0 11
120 0 0 10 3 pc-tbed-tpu-05006 0 0 0
121 0 1 10 3 pc-tbed-tpu-05006 0 0 1
122 0 2 10 3 pc-tbed-tpu-05006 0 0 2
123 0 3 10 3 pc-tbed-tpu-05006 0 0 3
124 0 4 10 3 pc-tbed-tpu-05006 0 0 4
125 0 5 10 3 pc-tbed-tpu-05006 0 0 5
126 0 6 10 3 pc-tbed-tpu-05006 0 0 6
127 0 7 10 3 pc-tbed-tpu-05006 0 0 7
128 0 8 10 3 pc-tbed-tpu-05006 0 0 8
129 0 9 10 3 pc-tbed-tpu-05006 0 0 9
130 0 10 10 3 pc-tbed-tpu-05006 0 0 10
131 0 11 10 3 pc-tbed-tpu-05006 0 0 11
132 0 0 11 3 pc-tbed-tpu-05006 1 0 0
133 0 1 11 3 pc-tbed-tpu-05006 1 0 1
134 0 2 11 3 pc-tbed-tpu-05006 1 0 2
135 0 3 11 3 pc-tbed-tpu-05006 1 0 3
136 0 4 11 3 pc-tbed-tpu-05006 1 0 4
137 0 5 11 3 pc-tbed-tpu-05006 1 0 5
138 0 6 11 3 pc-tbed-tpu-05006 1 0 6
139 0 7 11 3 pc-tbed-tpu-05006 1 0 7
140 0 8 11 3 pc-tbed-tpu-05006 1 0 8
141 0 9 11 3 pc-tbed-tpu-05006 1 0 9
142 0 10 11 3 pc-tbed-tpu-05006 1 0 10
143 0 11 11 3 pc-tbed-tpu-05006 1 0 11
144 0 0 12 3 pc-tbed-tpu-05007 0 0 0
145 0 1 12 3 pc-tbed-tpu-05007 0 0 1
146 0 2 12 3 pc-tbed-tpu-05007 0 0 2
147 0 3 12 3 pc-tbed-tpu-05007 0 0 3
148 0 4 12 3 pc-tbed-tpu-05007 0 0 4
149 0 5 12 3 pc-tbed-tpu-05007 0 0 5
150 0 6 12 3 pc-tbed-tpu-05007 0 0 6
151 0 7 12 3 pc-tbed-tpu-05007 0 0 7
152 0 8 12 3 pc-tbed-tpu-05007 0 0 8
153 0 9 12 3 pc-tbed-tpu-05007 0 0 9
154 0 10 12 3 pc-tbed-tpu-05007 0 0 10
155 0 11 12 3 pc-tbed-tpu-05007 0 0 11
156 0 0 13 3 pc-tbed-tpu-05007 1 0 0
157 0 1 13 3 pc-tbed-tpu-05007 1 0 1
158 0 2 13 3 pc-tbed-tpu-05007 1 0 2
159 0 3 13 3 pc-tbed-tpu-05007 1 0 3
160 0 4 13 3 pc-tbed-tpu-05007 1 0 4
161 0 5 13 3 pc-tbed-tpu-05007 1 0 5
162 0 6 13 3 pc-tbed-tpu-05007 1 0 6
163 0 7 13 3 pc-tbed-tpu-05007 1 0 7
164 0 8 13 3 pc-tbed-tpu-05007 1 0 8
165 0 9 13 3 pc-tbed-tpu-05007 1 0 9
166 0 10 13 3 pc-tbed-tpu-05007 1 0 10
167 0 11 13 3 pc-tbed-tpu-05007 1 0 11
168 0 0 14 3 pc-tbed-tpu-05008 0 0 0
169 0 1 14 3 pc-tbed-tpu-05008 0 0 1
170 0 2 14 3 pc-tbed-tpu-05008 0 0 2
171 0 3 14 3 pc-tbed-tpu-05008 0 0 3
172 0 4 14 3 pc-tbed-tpu-05008 0 0 4
173 0 5 14 3 pc-tbed-tpu-05008 0 0 5
174 0 6 14 3 pc-tbed-tpu-05008 0 0 6
175 0 7 14 3 pc-tbed-tpu-05008 0 0 7
176 0 8 14 3 pc-tbed-tpu-05008 0 0 8
177 0 9 14 3 pc-tbed-tpu-05008 0 0 9
178 0 10 14 3 pc-tbed-tpu-05008 0 0 10
179 0 11 14 3 pc-tbed-tpu-05008 0 0 11
180 0 0 15 3 pc-tbed-tpu-05008 1 0 0
181 0 1 15 3 pc-tbed-tpu-05008 1 0 1
182 0 2 15 3 pc-tbed-tpu-05008 1 0 2
183 0 3 15 3 pc-tbed-tpu-05008 1 0 3
184 0 4 15 3 pc-tbed-tpu-05008 1 0 4
185 0 5 15 3 pc-tbed-tpu-05008 1 0 5
186 0 6 15 3 pc-tbed-tpu-05008 1 0 6
187 0 7 15 3 pc-tbed-tpu-05008 1 0 7
188 0 8 15 3 pc-tbed-tpu-05008 1 0 8
189 0 9 15 3 pc-tbed-tpu-05008 1 0 9
190 0 10 15 3 pc-tbed-tpu-05008 1 0 10
191 0 11 15 3 pc-tbed-tpu-05008 1 0 11
192 0 0 16 3 pc-tbed-tpu-05009 0 0 0
193 0 1 16 3 pc-tbed-tpu-05009 0 0 1
194 0 2 16 3 pc-tbed-tpu-05009 0 0 2
195 0 3 16 3 pc-tbed-tpu-05009 0 0 3
196 0 4 16 3 pc-tbed-tpu-05009 0 0 4
197 0 5 16 3 pc-tbed-tpu-05009 0 0 5
198 0 6 16 3 pc-tbed-tpu-05009 0 0 6
199 0 7 16 3 pc-tbed-tpu-05009 0 0 7
200 0 8 16 3 pc-tbed-tpu-05009 0 0 8
201 0 9 16 3 pc-tbed-tpu-05009 0 0 9
202 0 10 16 3 pc-tbed-tpu-05009 0 0 10
203 0 11 16 3 pc-tbed-tpu-05009 0 0 11
204 0 0 17 3 pc-tbed-tpu-05009 1 0 0
205 0 1 17 3 pc-tbed-tpu-05009 1 0 1
206 0 2 17 3 pc-tbed-tpu-05009 1 0 2
207 0 3 17 3 pc-tbed-tpu-05009 1 0 3
